distance,depth,value
1200,0.125,1950
1200,0.2,1890
1200,0.3,1810
1200,0.4,1740
1200,0.5,1670
1400,0.125,2270
1400,0.2,2200
1400,0.3,2110
1400,0.4,2020
1400,0.5,1950
1600,0.125,2600
1600,0.2,2510
1600,0.3,2410
1600,0.4,2310
1600,0.5,2220
1800,0.125,2920
1800,0.2,2830
1800,0.3,2710
1800,0.4,2600
1800,0.5,2500
2000,0.125,3250
2000,0.2,3140
2000,0.3,3010
2000,0.4,2890
2000,0.5,2780
2200,0.125,3570
2200,0.2,3450
2200,0.3,3310
2200,0.4,3180
2200,0.5,3050
2400,0.125,3900
2400,0.2,3770
2400,0.3,3610
2400,0.4,3470
2400,0.5,3330
2600,0.125,4220
2600,0.2,4080
2600,0.3,3910
2600,0.4,3760
2600,0.5,3610
2800,0.125,4540
2800,0.2,4390
2800,0.3,4210
2800,0.4,4040
2800,0.5,3890
3000,0.125,4870
3000,0.2,4710
3000,0.3,4510
3000,0.4,4330
3000,0.5,4160
3200,0.125,5190
3200,0.2,5020
3200,0.3,4810
3200,0.4,4620
3200,0.5,4440
3400,0.125,5520
3400,0.2,5330
3400,0.3,5110
3400,0.4,4910
3400,0.5,4720
3600,0.125,5840
3600,0.2,5650
3600,0.3,5420
3600,0.4,5200
3600,0.5,5000
3800,0.125,6160
3800,0.2,5960
3800,0.3,5720
3800,0.4,5490
3800,0.5,5270
4000,0.125,6490
4000,0.2,6270
4000,0.3,6020
4000,0.4,5780
4000,0.5,5550
4200,0.125,6810
4200,0.2,6590
4200,0.3,6320
4200,0.4,6060
4200,0.5,5830
4400,0.125,7140
4400,0.2,6900
4400,0.3,6620
4400,0.4,6350
4400,0.5,6100
4600,0.125,7460
4600,0.2,7210
4600,0.3,6920
4600,0.4,6640
4600,0.5,6380
4800,0.125,7790
4800,0.2,7530
4800,0.3,7220
4800,0.4,6930
4800,0.5,6660
5000,0.125,8110
5000,0.2,7840
5000,0.3,7520
5000,0.4,7220
5000,0.5,6940
