weight,altitude,temperature,value
4500,0,0,1645
4500,0,10,1705
4500,0,20,1765
4500,0,30,1825
4500,0,40,1885
4500,0,50,1946
4500,1000,0,1705
4500,1000,10,1768
4500,1000,20,1830
4500,1000,30,1893
4500,1000,40,1955
4500,1000,50,2018
4500,2000,0,1769
4500,2000,10,1834
4500,2000,20,1898
4500,2000,30,1963
4500,2000,40,2028
4500,2000,50,2093
4500,3000,0,1835
4500,3000,10,1902
4500,3000,20,1969
4500,3000,30,2037
4500,3000,40,2104
4500,3000,50,2171
4500,4000,0,1904
4500,4000,10,1974
4500,4000,20,2044
4500,4000,30,2113
4500,4000,40,2183
4500,4000,50,2253
4500,5000,0,1977
4500,5000,10,2049
4500,5000,20,2121
4500,5000,30,2194
4500,5000,40,2266
4500,5000,50,2338
4500,6000,0,2052
4500,6000,10,2127
4500,6000,20,2203
4500,6000,30,2278
4500,6000,40,2353
4500,6000,50,2428
4500,7000,0,2131
4500,7000,10,2209
4500,7000,20,2287
4500,7000,30,2365
4500,7000,40,2443
4500,7000,50,2522
4500,8000,0,2240
4500,8000,10,2322
4500,8000,20,2404
4500,8000,30,2486
4500,8000,40,2568
4500,8000,50,2650
4500,9000,0,2373
4500,9000,10,2460
4500,9000,20,2547
4500,9000,30,2634
4500,9000,40,2721
4500,9000,50,2808
4500,10000,0,2515
4500,10000,10,2607
4500,10000,20,2699
4500,10000,30,2791
4500,10000,40,2883
4500,10000,50,2975
5550,0,0,2028
5550,0,10,2103
5550,0,20,2177
5550,0,30,2251
5550,0,40,2325
5550,0,50,2400
5550,1000,0,2103
5550,1000,10,2180
5550,1000,20,2257
5550,1000,30,2334
5550,1000,40,2411
5550,1000,50,2488
5550,2000,0,2182
5550,2000,10,2261
5550,2000,20,2341
5550,2000,30,2421
5550,2000,40,2501
5550,2000,50,2581
5550,3000,0,2263
5550,3000,10,2346
5550,3000,20,2429
5550,3000,30,2512
5550,3000,40,2595
5550,3000,50,2677
5550,4000,0,2349
5550,4000,10,2435
5550,4000,20,2521
5550,4000,30,2607
5550,4000,40,2693
5550,4000,50,2778
5550,5000,0,2438
5550,5000,10,2527
5550,5000,20,2616
5550,5000,30,2706
5550,5000,40,2795
5550,6000,0,2531
5550,6000,10,2624
5550,6000,20,2716
5550,6000,30,2809
5550,6000,40,2902
5550,7000,0,2629
5550,7000,10,2725
5550,7000,20,2821
5550,7000,30,2917
5550,7000,40,3014
5550,8000,0,2762
5550,8000,10,2864
5550,8000,20,2965
5550,8000,30,3066
5550,8000,40,3167
5550,9000,0,2927
5550,9000,10,3034
5550,9000,20,3142
5550,9000,30,3249
5550,9000,40,3356
5550,10000,0,3102
5550,10000,10,3215
5550,10000,20,3329
5550,10000,30,3442
